Film,Year,URL Encoded name,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION,ratings,Awards,Box Office,Director,Genre,Language,Plot,Poster,Rated,Runtime,imdbID,imdbVotes
Cotton Comes to Harlem,1970,Cotton%20Comes%20to%20Harlem,0,0,Directed by,Ossie Davis,http://imdb.com/name/nm0001115/,Harlem,40.80650084,-73.93928647,Manhattan,Harlem,0,Film,http://imdb.com/title/tt0065579/,Harlem,0,Y,100,N,N,6.5,1 win & 1 nomination.,N/A,Ossie Davis,"Action, Comedy, Crime",0.0,"Two Harlem cops investigate a robbery, believing that a reverend has staged it in order to steal the money he's collected for a local fundraiser.",https://m.media-amazon.com/images/M/MV5BZDFkNWUwYzEtNDM3ZS00NjAyLWFjZjgtYWRjZmJmNzZjNzJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,R,97 min,tt0065579,"1,721"
Crocodile Dundee,1986,Crocodile%20Dundee,CrocodileDundee3_pf,Courtesy of Photofest,Directed by,Peter Faiman,http://imdb.com/name/nm0265363/,Fifth Ave. and 53rd St.<br>Midtown<br>Manhattan,40.7604,-73.9758,Manhattan,Midtown,0,Film,http://imdb.com/title/tt0090555/,Fifth Avenue,0,Y,133,0,Y,6.6,Nominated for 1 Oscar. Another 3 wins & 7 nominations.,N/A,Peter Faiman,"Action, Adventure, Comedy",0.0,An American reporter goes to the Australian outback to meet an eccentric crocodile poacher and invites him to New York City.,https://m.media-amazon.com/images/M/MV5BZjNlMTQ1MzQtMjNjNS00MWY4LTgxZTgtM2M5NThkMDg4N2ViXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,97 min,tt0090555,"91,968"
Crooklyn,1994,Crooklyn,crooklyn1_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Stuyvesant Ave. and Macon St.<br>Brooklyn,40.6831114,-73.93205523,Brooklyn,Brooklyn,0,Film,http://www.imdb.com/title/tt0109504/,Brooklyn - streets TK,We have another photo,Y,190,0,Y,7.0,3 nominations.,"$13,642,861",Spike Lee,"Comedy, Drama",0.0,"Spike Lee's vibrant semi-autobiographical portrait of a school teacher, her stubborn jazz musician husband and their five kids living in Brooklyn in 1973.",https://m.media-amazon.com/images/M/MV5BYWEyM2Q3NDktM2E2Ni00OWIyLWIyYmItMWEyOGRmN2FkZjQ3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,PG-13,115 min,tt0109504,"9,294"
Crossing Delancey,1988,Crossing%20Delancey,0,0,Directed by,Joan Micklin Silver,http://imdb.com/name/nm0798717/,35 Essex St.<br>Lower East Side<br>Manhattan,40.71605,-73.989749,Manhattan,Lower East Side,New York Moments,Film,http://www.imdb.com/title/tt0094921/,35 Essex Street,0,Y,198,0,N,6.9,Nominated for 1 Golden Globe. Another 1 nomination.,"$16,262,415",Joan Micklin Silver,"Comedy, Romance",0.0,A Manhattan single meets a man through her Jewish grandmother's matchmaker.,https://m.media-amazon.com/images/M/MV5BZTlhNWJiMzAtYTIyNC00YzcyLWJkNGUtMTYwMDNhNjc5MTdkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,PG,97 min,tt0094921,"3,668"
Cruising,1980,Cruising,Cruising_pf,Courtesy of Photofest,Directed by,William Friedkin,http://imdb.com/name/nm0001243/,West Village<br>Manhattan,40.72898243,-74.0008378,Manhattan,West Village,0,Film,http://www.imdb.com/title/tt0080569/,Central Park,0,Y,144,0,Y,6.5,5 nominations.,N/A,William Friedkin,"Crime, Drama, Mystery, Thriller",0.0,A police detective goes undercover in the underground S&M gay subculture of New York City to catch a serial killer who is preying on gay men.,https://m.media-amazon.com/images/M/MV5BYjFmODA1NjItY2NmOS00NTczLThkMWMtMzNlZTNiNmU0NWRiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,R,102 min,tt0080569,"18,796"
Cruising,1980,Cruising,Cruising_ec,"Courtesy of Everett Collection, Inc.",Directed by,William Friedkin,http://imdb.com/name/nm0001243/,Central Park<br>Manhattan,40.77920907,-73.97118329999998,Manhattan,Central Park,0,Film,http://www.imdb.com/title/tt0080569/,Central Park,0,Y,144,0,Y,6.5,5 nominations.,N/A,William Friedkin,"Crime, Drama, Mystery, Thriller",0.0,A police detective goes undercover in the underground S&M gay subculture of New York City to catch a serial killer who is preying on gay men.,https://m.media-amazon.com/images/M/MV5BYjFmODA1NjItY2NmOS00NTczLThkMWMtMzNlZTNiNmU0NWRiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,R,102 min,tt0080569,"18,796"
Death to Smoochy,2002,Death%20to%20Smoochy,0,0,Directed by,Danny DeVito,http://imdb.com/name/nm0000362/,Seventh Ave. and 48th St.<br>Times Square<br>Manhattan,40.7598,-73.9842,Manhattan,Times Square,0,Film,http://www.imdb.com/title/tt0266452/,Times Square,Additional image p10-11,Y,6/238,0,N,6.4,2 nominations.,N/A,Danny DeVito,"Comedy, Crime, Drama, Thriller",0.0,"A kids show host, Rainbow Randolph, is fired in disgrace while his replacement, Sheldon Mopes, aka Smoochy the Rhino, finds himself a rising star. Unfortunately for Sheldon, the business of kids television isn't all child's play.",https://m.media-amazon.com/images/M/MV5BNzlmZTQ1YzUtOGZjMi00YmVhLTg0ZDQtMmUyMjVlZDZhOTIwXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,R,109 min,tt0266452,"38,583"
Death Wish,1974,Death%20Wish,DeathWish_pf,Courtesy of Photofest,Directed by,Michael Winner,http://imdb.com/name/nm0935382/,Subway Station near Court St.<br>Brooklyn,40.6938,-73.9904,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0071402/,Subway near Court St.,0,Y,67,0,Y,6.3,4 nominations.,"$34,017,028",Eli Roth,"Action, Crime, Drama, Thriller",0.0,"Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.",https://m.media-amazon.com/images/M/MV5BMTkzNjU3MjE0MF5BMl5BanBnXkFtZTgwNTIyNDk0NDM@._V1_SX300.jpg,R,107 min,tt1137450,"63,203"
Desperately Seeking Susan,1985,Desperately%20Seeking%20Susan,DesperatelySeeking_pf,Courtesy of Photofest,Directed by,Susan Seidelman,http://imdb.com/name/nm0782384/,St. Marks Place<br>East Village<br>Manhattan,40.729171,-73.98939,Manhattan,East Village,0,Film,http://www.imdb.com/title/tt0089017/,St. Marks Place,poor quality,Y,119,0,Y,6.0,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,"$27,398,584",Susan Seidelman,"Comedy, Drama",0.0,A bored New Jersey suburban housewife's fascination with a kooky character she's read about in the personal columns leads to her being mistaken for the woman herself.,https://m.media-amazon.com/images/M/MV5BNTViMzE5MmQtNWUwNC00NWNkLWIxMWUtYzM5NWRmOTk5MDQ2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,PG-13,104 min,tt0089017,"20,847"
Desperately Seeking Susan,1985,Desperately%20Seeking%20Susan,DesperatelySeeking1_ec,"Courtesy of Everett Collection, Inc.",Directed by,Susan Seidelman,http://imdb.com/name/nm0782384/,George Washington Bus Terminal<br>Manhattan,40.849284,-73.936966,Manhattan,Fort George,0,Film,http://www.imdb.com/title/tt0089017/,George Washington Bus Terminal (uptown Port Authority),0,Y,156,0,Y,6.0,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,"$27,398,584",Susan Seidelman,"Comedy, Drama",0.0,A bored New Jersey suburban housewife's fascination with a kooky character she's read about in the personal columns leads to her being mistaken for the woman herself.,https://m.media-amazon.com/images/M/MV5BNTViMzE5MmQtNWUwNC00NWNkLWIxMWUtYzM5NWRmOTk5MDQ2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,PG-13,104 min,tt0089017,"20,847"
Die Hard: With a Vengeance,1995,Die%20Hard%3A%20With%20a%20Vengeance,DieHardWithAvengance_pf,Courtesy of Photofest,Directed by,John McTiernan,http://imdb.com/name/nm0001532/,Central Park South<br>Manhattan,40.76705413,-73.97899389,Manhattan,Central Park,Chases,Film,http://www.imdb.com/title/tt0112864/,CPS btwn 6th and 7th Ave,0,Y,80,0,Y,7.6,2 wins & 3 nominations.,"$100,012,499",John McTiernan,"Action, Adventure, Thriller",0.0,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building.",https://m.media-amazon.com/images/M/MV5BZjI0ZWFiMmQtMjRlZi00ZmFhLWI4NmYtMjQ5YmY0MzIyMzRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,128 min,tt0112864,"361,069"
Do the Right Thing,1989,Do%20the%20Right%20Thing,DoTheRightthing3_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Stuyvesant Ave.<br>Bedford-Stuyvesant<br>Brooklyn,40.68931072,-73.93328905,Brooklyn,Brooklyn,0,Film,http://www.imdb.com/title/tt0097216/,"Stuyvesant Avenue
Bedford-Stuyvesant
Brooklyn",Various other photos,Y,174-175,0,Y,8.0,Nominated for 2 Oscars. Another 20 wins & 15 nominations.,"$27,545,445",Spike Lee,"Comedy, Drama",0.0,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",https://m.media-amazon.com/images/M/MV5BODA2MjU1NTI1MV5BMl5BanBnXkFtZTgwOTU4ODIwMjE@._V1_SX300.jpg,R,120 min,tt0097216,"88,627"
Dog Day Afternoon,1972,Dog%20Day%20Afternoon,0,0,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/,Prospect Park South and 16th St.<br>Brooklyn,40.6572503,-73.97421956,Brooklyn,Brooklyn,0,Film,http://www.imdb.com/title/tt0072890/,Park Slope,0,Y,"4,63",0,N,8.0,Won 1 Oscar. Another 13 wins & 21 nominations.,N/A,Sidney Lumet,"Biography, Crime, Drama, Thriller",0.0,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",https://m.media-amazon.com/images/M/MV5BODExZmE2ZWItYTIzOC00MzI1LTgyNTktMDBhNmFhY2Y4OTQ3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,R,125 min,tt0072890,"233,726"
Eternal Sunshine of the Spotless Mind,2004,Eternal%20Sunshine%20of%20the%20Spotless%20Mind,EternalSunshine_ec,"Courtesy of Everett Collection, Inc.",Directed by,Michel Gondry,http://imdb.com/name/nm0327273/,Orchard St. and Rivington St.<br>Lower East Side<br>Manhattan,40.7203,-73.9891,Manhattan,Lower East Side,0,Film,http://www.imdb.com/title/tt0338013/,Orchard Street,0,Y,250-251,0,Y,8.3,Won 1 Oscar. Another 72 wins & 111 nominations.,"$34,400,301",Michel Gondry,"Drama, Romance, Sci-Fi",0.0,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SX300.jpg,R,108 min,tt0338013,"905,429"
Fame,1980,Fame,0,0,Directed by,Alan Parker,http://imdb.com/name/nm0000570/,High School of the Performing Arts<br>120 W. 46th St.<br>Manhattan,40.757566,-73.983047,Manhattan,Times Square,0,Film,http://www.imdb.com/title/tt0080716/,46th street bet 6th ave and broadway,0,Y,115,0,N,6.6,Won 2 Oscars. Another 5 wins & 16 nominations.,"$21,202,829",Alan Parker,"Drama, Music, Musical",0.0,A chronicle of the lives of several teenagers who attend a New York high school for students gifted in the performing arts.,https://m.media-amazon.com/images/M/MV5BMzk2NzA4NjQ4NV5BMl5BanBnXkFtZTgwMzE4OTI1MDE@._V1_SX300.jpg,R,134 min,tt0080716,"20,170"
Fame,1980,Fame,0,0,Directed by,Alan Parker,http://imdb.com/name/nm0000570/,W. 59th St. and Tenth Ave.<br>Upper West Side<br>Manhattan,40.7704,-73.9876,Manhattan,Upper West Side,0,Film,http://www.imdb.com/title/tt0080716/,59th Street and 10th Avenue,0,Y,122,0,N,6.6,Won 2 Oscars. Another 5 wins & 16 nominations.,"$21,202,829",Alan Parker,"Drama, Music, Musical",0.0,A chronicle of the lives of several teenagers who attend a New York high school for students gifted in the performing arts.,https://m.media-amazon.com/images/M/MV5BMzk2NzA4NjQ4NV5BMl5BanBnXkFtZTgwMzE4OTI1MDE@._V1_SX300.jpg,R,134 min,tt0080716,"20,170"
Ferry Tales,2003,Ferry%20Tales,FerryTales_ec,"Courtesy of Everett Collection, Inc.",Directed by,Katja Esson,http://imdb.com/name/nm1534515/,St. George Station<br>Staten Island,40.64456836,-74.072721,Staten Island,Staten Island,0,Film,http://www.imdb.com/title/tt0363607/,Staten Island Ferry Terminal St. George,0,Y,196-197,0,Y,7.7,Nominated for 1 Oscar. Another 3 wins & 1 nomination.,N/A,Katja Esson,"Documentary, Short",0.0,A documentary that focuses on the daily meetings between a group of commuters in the women's room of the Staten Island Ferry.,https://m.media-amazon.com/images/M/MV5BMTQwNzQ1MTU5MF5BMl5BanBnXkFtZTgwNzc5ODEwMDE@._V1_SX300.jpg,N/A,40 min,tt0363607,54
Force of Evil,1948,Force%20of%20Evil,0,0,Directed by,Abraham Polonsky,http://imdb.com/name/nm0689796/,George Washington Bridge<br>Manhattan,40.84936524,-73.94247293,Manhattan,Washington Heights,0,Film,http://imdb.com/title/tt0040366/,near the George Washington Bridge,0,Y,33,0,N,7.3,1 win.,"$948,000",Abraham Polonsky,"Crime, Drama, Film-Noir",0.0,"An unethical lawyer, with an older brother he wants to help, becomes a partner with a client in the numbers racket.",https://m.media-amazon.com/images/M/MV5BZTA5MDA4YjQtOWMyMC00N2FkLWEyYjAtN2M2ODBlMzIxYmM2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Passed,79 min,tt0040366,"5,795"
Fort Apache the Bronx,1981,Fort%20Apache%20the%20Bronx,FortApache_ec,"Courtesy of Everett Collection, Inc.",Directed by,Daniel Petrie,http://imdb.com/name/nm0677951/,A South Bronx rooftop<br>The Bronx,40.81744688,-73.90884876,The Bronx,The Bronx,Rooftops,Film,http://imdb.com/title/tt0082402/,South Bronx rooftop,0,Y,126,0,Y,6.7,N/A,N/A,Daniel Petrie,"Crime, Drama",0.0,"In New York City, South Bronx's main police precinct is nicknamed Fort Apache by its employees who feel like troopers surrounded by hostiles in a wild west isolated outpost.",https://m.media-amazon.com/images/M/MV5BOGY2OWViYmUtMjU4Ny00ZTM1LTlhZWItYmEwOGEyMDAwM2YwXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,R,125 min,tt0082402,"5,571"
Ghostbusters,1984,Ghostbusters,Ghostbusters_pf,Courtesy of Photofest,Directed by,Ivan Reitman,http://imdb.com/name/nm0718645/,Columbus Circle<br>Upper West Side<br>Manhattan,40.76812671,-73.98195505,Manhattan,Upper West Side,0,Film,http://www.imdb.com/title/tt0087332/,Columbus Circle,0,Y,181-183,0,Y,7.8,Nominated for 2 Oscars. Another 6 wins & 6 nominations.,"$243,187,079",Ivan Reitman,"Action, Comedy, Fantasy",0.0,Three former parapsychology professors set up shop as a unique ghost removal service.,https://m.media-amazon.com/images/M/MV5BMTkxMjYyNzgwMl5BMl5BanBnXkFtZTgwMTE3MjYyMTE@._V1_SX300.jpg,PG,105 min,tt0087332,"352,547"
Ghostbusters,1984,Ghostbusters,Ghostbusters2_pf,Courtesy of Photofest,Directed by,Ivan Reitman,http://imdb.com/name/nm0718645/,W. 66th St. and Central Park West<br>Upper West Side<br>Manhattan,40.7724,-73.9787,Manhattan,Upper West Side,0,Film,http://www.imdb.com/title/tt0087332/,66th Street and Central Park West,poor quality,Y,118,0,Y,7.8,Nominated for 2 Oscars. Another 6 wins & 6 nominations.,"$243,187,079",Ivan Reitman,"Action, Comedy, Fantasy",0.0,Three former parapsychology professors set up shop as a unique ghost removal service.,https://m.media-amazon.com/images/M/MV5BMTkxMjYyNzgwMl5BMl5BanBnXkFtZTgwMTE3MjYyMTE@._V1_SX300.jpg,PG,105 min,tt0087332,"352,547"
Godspell,1973,Godspell,Godspell3_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,World Trade Center<br>Lower Manhattan,40.71226431,-74.01123941,Manhattan,Lower Manhattan,0,Film,http://www.imdb.com/title/tt0070121/,Roof of WTC,poor quality,Y,72-73,0,Y,6.5,2 nominations.,N/A,David Greene,"Comedy, Drama, Musical",0.0,"An adaption of the musical, in a modern-day song-and-dance recreation of the Gospel of St. Matthew.",https://m.media-amazon.com/images/M/MV5BN2Q5ZWExMDEtOTkzMy00NDJmLTg1MTctNDA5ZjFhMzk1YzNmXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,G,103 min,tt0070121,"3,080"
Godspell,1973,Godspell,Godspell4_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Times Square<br>Manhattan,40.75931801,-73.98484647,Manhattan,Times Square,0,Film,http://www.imdb.com/title/tt0070121/,"Accutron Watch Sign, Times Square",poor quality,Y,72-73,0,Y,6.5,2 nominations.,N/A,David Greene,"Comedy, Drama, Musical",0.0,"An adaption of the musical, in a modern-day song-and-dance recreation of the Gospel of St. Matthew.",https://m.media-amazon.com/images/M/MV5BN2Q5ZWExMDEtOTkzMy00NDJmLTg1MTctNDA5ZjFhMzk1YzNmXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,G,103 min,tt0070121,"3,080"
Godspell,1973,Godspell,Godspell7_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Lincoln Center<br>Upper West Side<br>Manhattan,40.77230313,-73.98337662,Manhattan,Upper West Side,0,Film,http://www.imdb.com/title/tt0070121/,Lincoln Center - Columbus Avenue & 61st Street,poor quality,Y,72-73,0,Y,6.5,2 nominations.,N/A,David Greene,"Comedy, Drama, Musical",0.0,"An adaption of the musical, in a modern-day song-and-dance recreation of the Gospel of St. Matthew.",https://m.media-amazon.com/images/M/MV5BN2Q5ZWExMDEtOTkzMy00NDJmLTg1MTctNDA5ZjFhMzk1YzNmXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,G,103 min,tt0070121,"3,080"
Godspell,1973,Godspell,Godspell8_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.77335125,-73.98368776,Manhattan,Upper West Side,0,Film,http://www.imdb.com/title/tt0070121/,"Empire Diner, Tenth Ave at 22nd Street",poor quality,Y,72-73,0,Y,6.5,2 nominations.,N/A,David Greene,"Comedy, Drama, Musical",0.0,"An adaption of the musical, in a modern-day song-and-dance recreation of the Gospel of St. Matthew.",https://m.media-amazon.com/images/M/MV5BN2Q5ZWExMDEtOTkzMy00NDJmLTg1MTctNDA5ZjFhMzk1YzNmXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,G,103 min,tt0070121,"3,080"
Godspell,1973,Godspell,Godspell2_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Bethesda Fountain<br>Central Park<br>Manhattan,40.77436686,-73.97078633,Manhattan,Central Park,0,Film,http://www.imdb.com/title/tt0070121/,"Betheda Fountain, Central Park",poor quality,Y,72-73,0,Y,6.5,2 nominations.,N/A,David Greene,"Comedy, Drama, Musical",0.0,"An adaption of the musical, in a modern-day song-and-dance recreation of the Gospel of St. Matthew.",https://m.media-amazon.com/images/M/MV5BN2Q5ZWExMDEtOTkzMy00NDJmLTg1MTctNDA5ZjFhMzk1YzNmXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,G,103 min,tt0070121,"3,080"
Godspell,1973,Godspell,Godspell6_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Ramble<br>Central Park<br>Manhattan,40.77646303,-73.97097945,Manhattan,Central Park,0,Film,http://www.imdb.com/title/tt0070121/,"Ramble, Central Park",poor quality,Y,72-73,0,Y,6.5,2 nominations.,N/A,David Greene,"Comedy, Drama, Musical",0.0,"An adaption of the musical, in a modern-day song-and-dance recreation of the Gospel of St. Matthew.",https://m.media-amazon.com/images/M/MV5BN2Q5ZWExMDEtOTkzMy00NDJmLTg1MTctNDA5ZjFhMzk1YzNmXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,G,103 min,tt0070121,"3,080"
Godspell,1973,Godspell,Godspell1_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Under Triboro Bridge<br>Randalls Island,40.78457084,-73.92944813,Manhattan,Randall's Island,0,Film,http://www.imdb.com/title/tt0070121/,"Under Triboro Bridge, Randalls Island",poor quality,Y,72-73,0,Y,6.5,2 nominations.,N/A,David Greene,"Comedy, Drama, Musical",0.0,"An adaption of the musical, in a modern-day song-and-dance recreation of the Gospel of St. Matthew.",https://m.media-amazon.com/images/M/MV5BN2Q5ZWExMDEtOTkzMy00NDJmLTg1MTctNDA5ZjFhMzk1YzNmXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,G,103 min,tt0070121,"3,080"
Godspell,1973,Godspell,Godspell5_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Soldiers and Sailor's Monument<br>Riverside Park (at 89th St.)<br>Manhattan,40.79230402,-73.97877395,Manhattan,Upper West Side,0,Film,http://www.imdb.com/title/tt0070121/,"Soldiers and Sailor's Monument, 89th street Riverside Park",poor quality,Y,72-73,0,Y,6.5,2 nominations.,N/A,David Greene,"Comedy, Drama, Musical",0.0,"An adaption of the musical, in a modern-day song-and-dance recreation of the Gospel of St. Matthew.",https://m.media-amazon.com/images/M/MV5BN2Q5ZWExMDEtOTkzMy00NDJmLTg1MTctNDA5ZjFhMzk1YzNmXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,G,103 min,tt0070121,"3,080"
Godzilla,1988,Godzilla,Godzilla_ec,"Courtesy of Everett Collection, Inc.",Directed by,Roland Emmerich,http://imdb.com/name/nm0000386/,Madison Square Garden<br>Midtown<br>Manhattan,40.75034558,-73.99149835,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0120685/,Madison Square Garden,Additional image p228-229,Y,180,0,Y,6.4,7 wins & 31 nominations.,N/A,Gareth Edwards,"Action, Adventure, Sci-Fi, Thriller",0.0,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",https://m.media-amazon.com/images/M/MV5BN2E4ZDgxN2YtZjExMS00MWE5LTg3NjQtNTkxMzJhOTA3MDQ4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,123 min,tt0831387,"372,628"
Goodfellas,1990,Goodfellas,Goodfellas_pf,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/,24-13 32nd St.<br>Astoria<br>Queens,40.77148249,-73.91521633,Queens,Queens,0,Film,http://imdb.com/title/tt0099685/,Queens,slide,Y,25,0,Y,8.7,Won 1 Oscar. Another 43 wins & 38 nominations.,"$46,836,214",Martin Scorsese,"Biography, Crime, Drama",0.0,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,R,146 min,tt0099685,"1,009,284"
Green Card,1990,Green%20Card,Greencard_pf,Courtesy of Photofest,Directed by,Peter Weir,http://imdb.com/name/nm0001837/,W. 76th St & Columbus<br>Upper West Side<br>Manhattan,40.78,-73.9769,Manhattan,Upper West Side,Rooftops,Film,http://www.imdb.com/title/tt0099699/,West 76th Street,We have another photo,Y,230,0,Y,6.2,Nominated for 1 Oscar. Another 3 wins & 3 nominations.,"$29,888,235",Peter Weir,"Comedy, Drama, Romance",0.0,"A man wanting to stay in the US enters into a marriage of convenience, but it turns into more than that.",https://m.media-amazon.com/images/M/MV5BMTNjZjQ3MTYtNTdhMS00MDRhLThjMjItMmQ3MzJkMjMyODg5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,PG-13,107 min,tt0099699,"22,380"
Hair,1979,Hair,Hair_pf,Courtesy of Photofest,Directed by,Milos Forman,http://imdb.com/name/nm0001232/,Sheep's Meadow<br>Central Park<br>Manhattan,40.77179937,-73.97488475,Manhattan,Central Park,0,Film,http://www.imdb.com/title/tt0079261/,Central Park,0,Y,145,0,Y,7.6,Nominated for 2 Golden Globes. Another 2 wins & 3 nominations.,"$15,284,643",Milos Forman,"Comedy, Drama, Musical, Romance, War",0.0,"Claude Bukowski leaves the family ranch in Oklahoma for New York where he is rapidly embraced into the hippie group of youngsters led by Berger, yet he's already been drafted. He soon falls in love with Sheila Franklin, a rich girl but still a rebel inside.",https://m.media-amazon.com/images/M/MV5BODUzNjUzNzIzM15BMl5BanBnXkFtZTcwMjc4MjkzNA@@._V1_SX300.jpg,PG,121 min,tt0079261,"34,829"
Hannah and Her Sisters,1986,Hannah%20and%20Her%20Sisters,0,0,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Spring St. and Green St.<br>SoHo<br>Manhattan,40.7238,-74.0004,Manhattan,SoHo,0,Film,http://www.imdb.com/title/tt0091167/,SoHo,0,Y,155,0,N,7.9,Won 3 Oscars. Another 24 wins & 26 nominations.,"$40,084,041",Woody Allen,"Comedy, Drama",0.0,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",https://m.media-amazon.com/images/M/MV5BMWZiNWUwYjMtM2Y1Yi00MTZmLWEwYzctNjVmYWM0OTFlZDFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,PG-13,107 min,tt0091167,"66,701"
Hannah and Her Sisters,1986,Hannah%20and%20Her%20Sisters,0,0,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,W. 95th St. and West End Ave.<br>Upper West Side<br>Manhattan,40.7946,-73.9737,Manhattan,Upper West Side,0,Film,http://www.imdb.com/title/tt0091167/,95th Street and West End Avenue,0,N,0,0,N,7.9,Won 3 Oscars. Another 24 wins & 26 nominations.,"$40,084,041",Woody Allen,"Comedy, Drama",0.0,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",https://m.media-amazon.com/images/M/MV5BMWZiNWUwYjMtM2Y1Yi00MTZmLWEwYzctNjVmYWM0OTFlZDFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,PG-13,107 min,tt0091167,"66,701"
